site,census,code,genus,species,n10m,s10m,t10m,r10m,f10m,l10m,u10m,n100m,s100m,t100m,r100m,f100m,l100m,u100m
Lambir,1992-1997,lam,Aphanamixis,borneensis,49,47,5.35,0.779,0.963,0.344,2.219,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Aporusa,acuminatissima,92,81,5.149,2.473,2.158,1.18,3.777,12,12,4.981,0,0.614,0.146,2.355
Lambir,1992-1997,lam,Aporusa,aurea,587,527,5.231,2.061,2.014,1.563,2.603,19,19,5.192,0,0.578,0.138,2.132
Lambir,1992-1997,lam,Aporusa,benthamiana,1060,1004,5.28,1.028,1.036,0.766,1.326,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Aporusa,bulattissima,83,77,4.981,1.506,1.385,0.663,2.648,16,13,5.031,4.127,2.051,0.604,5.91
Lambir,1992-1997,lam,Aporusa,chalocarpa,192,176,4.638,1.876,1.794,1.055,2.746,10,9,4.715,2.235,1.177,0.277,4.396
Lambir,1992-1997,lam,Aporusa,elmeri,130,127,5.074,0.46,0.663,0.27,1.33,4,4,5.409,0,0.796,0.158,3.547
Lambir,1992-1997,lam,Aporusa,frutescens,57,56,4.707,0.376,0.762,0.29,1.906,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Aporusa,hosei,84,79,4.581,1.34,1.336,0.592,2.52,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Aporusa,illustris,177,166,4.588,1.398,1.364,0.776,2.249,10,6,4.913,10.398,4.031,1.101,10.744
Lambir,1992-1997,lam,Aporusa,lagenocarpa,277,263,4.76,1.09,1.101,0.665,1.746,34,31,4.804,1.923,1.383,0.452,3.42
Lambir,1992-1997,lam,Aporusa,lucida,125,109,5.302,2.583,2.329,1.411,3.755,7,6,5.348,2.882,1.253,0.297,4.58
Lambir,1992-1997,lam,Aporusa,nervosa,160,151,4.616,1.254,1.245,0.637,2.203,7,6,4.81,3.205,1.302,0.292,4.941
Lambir,1992-1997,lam,Aporusa,nigricans,166,152,4.733,1.862,1.744,0.992,2.698,7,7,4.648,0,0.725,0.145,3.108
Lambir,1992-1997,lam,Aporusa,sarawakensis,302,302,5.372,0,0.213,0.09,0.455,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Aporusa,sphaeridophora,175,170,4.628,0.626,0.746,0.35,1.472,31,29,4.812,1.386,1.07,0.32,2.946
Lambir,1992-1997,lam,Aporusa,subcaudata,663,639,4.883,0.755,0.786,0.532,1.113,53,49,4.979,1.576,1.267,0.462,2.957
Lambir,1992-1997,lam,Aporusa,symplocoides,670,642,5.072,0.842,0.851,0.589,1.172,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Aquilaria,beccariana,236,212,4.516,2.375,2.236,1.462,3.221,1,1,4.698,0,0.838,0.182,3.912
Lambir,1992-1997,lam,Aquilaria,malaccensis,137,109,5.188,4.407,3.957,2.643,5.576,17,17,5.25,0,0.602,0.138,2.06
Lambir,1992-1997,lam,Archidendron,casai,0,0,NA,NA,NA,NA,NA,1,1,4.761,0,0.76,0.163,3.834
Lambir,1992-1997,lam,Archidendron,cockburnii,24,18,4.838,5.946,3.678,1.522,7.576,14,10,4.816,6.986,3.243,0.934,8.316
Lambir,1992-1997,lam,Archidendron,jiringa,561,512,4.982,1.834,1.8,1.348,2.358,50,48,5.186,0.787,0.805,0.266,1.973
Lambir,1992-1997,lam,Archidendron,microcarpum,48,42,4.906,2.722,2.13,1.004,4.349,3,2,5.154,7.866,1.462,0.279,6.116
Lambir,1992-1997,lam,Archidendron,triplinervium,34,29,5.208,3.054,2.238,0.925,4.827,7,7,5.067,0,0.709,0.15,3.077
Lambir,1992-1997,lam,Ardisia,breviramea,180,166,5.263,1.538,1.515,0.888,2.329,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Ardisia,colorata,397,353,5.052,2.325,2.24,1.632,3.019,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Ardisia,lanceolata,23,21,5.053,1.8,1.504,0.494,3.744,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Ardisia,macrophylla,5,4,5.453,4.092,1.776,0.479,5.535,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Ardisia,marginata,180,174,5.181,0.654,0.748,0.366,1.327,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Ardisia,moultonii,13,11,4.978,3.356,1.849,0.565,5.51,6,6,4.982,0,0.711,0.165,3.045
Lambir,1992-1997,lam,Arthrophyllum,diversifolium,26,22,5.168,3.233,2.2,0.853,4.993,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Artocarpus,anisophyllus,502,461,4.928,1.729,1.688,1.22,2.252,116,114,4.75,0.366,0.486,0.162,1.136
Lambir,1992-1997,lam,Artocarpus,dadah,153,140,5.212,1.704,1.558,0.925,2.585,39,37,5.254,1.002,0.917,0.281,2.457
Lambir,1992-1997,lam,Artocarpus,elasticus,108,94,5.267,2.636,2.387,1.332,3.817,40,38,5.255,0.976,0.889,0.281,2.252
Lambir,1992-1997,lam,Artocarpus,integer,71,68,4.821,0.895,1.029,0.383,2.185,28,27,4.828,0.753,0.809,0.202,2.41
Lambir,1992-1997,lam,Artocarpus,kemando,45,38,5.249,3.221,2.474,1.165,4.81,21,20,5.051,0.966,0.883,0.227,2.708
Lambir,1992-1997,lam,Artocarpus,melinoxylus,50,47,5.324,1.162,1.154,0.456,2.526,17,16,5.084,1.193,0.886,0.24,3.108
Lambir,1992-1997,lam,Artocarpus,nitidus,111,100,5.011,2.083,1.864,1.04,3.173,89,89,4.891,0,0.316,0.085,0.941
Lambir,1992-1997,lam,Artocarpus,obtusus,30,29,4.753,0.713,1.008,0.348,2.691,19,19,4.643,0,0.583,0.135,2.092
Lambir,1992-1997,lam,Artocarpus,odoratissimus,1243,1164,4.896,1.341,1.331,1.072,1.633,220,217,4.775,0.288,0.384,0.151,0.814
Lambir,1992-1997,lam,Artocarpus,tamaran,57,47,5.379,3.586,2.924,1.518,5.16,3,3,5.131,0,0.748,0.171,3.364
Lambir,1992-1997,lam,Atuna,nannodes,74,72,4.92,0.557,0.822,0.288,1.784,39,38,5.017,0.518,0.658,0.185,1.995
Lambir,1992-1997,lam,Azadirachta,excelsa,0,0,NA,NA,NA,NA,NA,2,2,5.035,0,0.789,0.186,3.426
Lambir,1992-1997,lam,Baccaurea,angulata,72,54,5.346,5.382,4.529,2.745,6.997,13,12,5.398,1.483,0.979,0.255,3.306
Lambir,1992-1997,lam,Baccaurea,hookeri,36,32,5.21,2.261,1.764,0.705,3.877,4,4,5.394,0,0.73,0.151,3.119
Lambir,1992-1997,lam,Baccaurea,kunstleri,284,263,4.96,1.549,1.525,0.984,2.251,33,32,5.089,0.605,0.7,0.193,2.012
Lambir,1992-1997,lam,Baccaurea,minor,178,161,5.235,1.917,1.813,1.105,2.711,7,6,5.26,2.931,1.176,0.274,4.674
Lambir,1992-1997,lam,Baccaurea,puberula,163,153,5.024,1.26,1.265,0.699,2.067,18,17,5.171,1.105,0.881,0.225,2.91
Lambir,1992-1997,lam,Baccaurea,pyriformis,250,238,4.748,1.036,1.027,0.601,1.663,72,66,4.727,1.841,1.509,0.625,3.072
Lambir,1992-1997,lam,Baccaurea,reticulata,17,14,5.1,3.807,2.226,0.789,5.381,14,14,4.671,0,0.647,0.145,2.389
Lambir,1992-1997,lam,Baccaurea,sarawakensis,1479,1448,4.741,0.447,0.475,0.329,0.647,131,125,4.792,0.978,0.923,0.415,1.734
Lambir,1992-1997,lam,Baccaurea,stipulata,43,42,4.844,0.486,0.848,0.306,1.923,4,4,4.872,0,0.754,0.162,3.455
Lambir,1992-1997,lam,Baccaurea,sumatrana,52,48,4.905,1.632,1.476,0.6,3.209,4,4,4.769,0,0.77,0.157,3.35
Lambir,1992-1997,lam,Baccaurea,trunciflora,693,666,5.051,0.787,0.813,0.547,1.117,30,29,5.098,0.665,0.732,0.209,2.141
Lambir,1992-1997,lam,Barringtonia,curranii,268,258,4.916,0.774,0.828,0.484,1.365,59,59,5.024,0,0.385,0.098,1.095
Lambir,1992-1997,lam,Barringtonia,dolichophylla,446,436,4.846,0.468,0.545,0.303,0.879,1,1,5.489,0,0.898,0.133,4.065
Lambir,1992-1997,lam,Barringtonia,lanceolata,227,216,4.96,1.001,1.004,0.562,1.725,42,41,4.99,0.483,0.634,0.189,1.814
Lambir,1992-1997,lam,Barringtonia,revoluta,49,40,5.358,3.788,2.952,1.459,5.381,3,3,5.42,0,0.813,0.157,3.371
Lambir,1992-1997,lam,Barringtonia,sarcostachys,3,3,5.113,0,1.172,0.306,4.639,2,2,4.745,0,0.794,0.175,4.187
Lambir,1992-1997,lam,Barringtonia,scortechinii,211,201,4.822,1.007,1.066,0.576,1.772,25,24,4.884,0.836,0.818,0.223,2.414
Lambir,1992-1997,lam,Beilschmiedia,glabra,149,142,5.015,0.959,1.006,0.524,1.781,26,26,4.739,0,0.535,0.125,1.708
Lambir,1992-1997,lam,Beilschmiedia,lucidula,59,55,5.368,1.308,1.264,0.543,2.537,13,13,5.236,0,0.645,0.144,2.283
Lambir,1992-1997,lam,Beilschmiedia,micrantha,122,118,4.671,0.714,0.833,0.38,1.622,27,26,4.681,0.806,0.786,0.223,2.397
Lambir,1992-1997,lam,Beilschmiedia,wieringae,19,18,4.553,1.188,1.208,0.373,3.321,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Bhesa,paniculata,303,275,5.105,1.899,1.828,1.229,2.578,47,46,5.063,0.425,0.605,0.189,1.79
Lambir,1992-1997,lam,Blumeodendron,borneense,48,48,5.433,0,0.565,0.207,1.513,2,2,5.414,0,0.871,0.137,4.142
Lambir,1992-1997,lam,Blumeodendron,calophyllum,440,409,5.134,1.423,1.395,0.965,1.935,57,54,5.067,1.067,0.965,0.339,2.17
Lambir,1992-1997,lam,Blumeodendron,tokbrai,58,58,4.723,0,0.585,0.195,1.437,35,32,4.723,1.897,1.344,0.46,3.364
Lambir,1992-1997,lam,Bouea,oppositifolia,82,80,4.964,0.497,0.749,0.319,1.614,4,3,4.916,5.852,1.427,0.311,5.88
Lambir,1992-1997,lam,Brackenridgea,hookeri,216,201,4.664,1.543,1.476,0.882,2.319,19,18,4.824,1.121,0.914,0.224,3.073
Lambir,1992-1997,lam,Breynia,racemosa,6,3,5.151,13.457,3.737,1.017,10.582,2,1,4.957,13.984,1.484,0.321,7.196
Lambir,1992-1997,lam,Bridelia,glauca,105,87,5.181,3.63,3.194,1.93,4.978,10,7,5.205,6.853,2.719,0.718,8.094
Lambir,1992-1997,lam,Buchanania,sessifolia,153,130,4.876,3.341,3.068,1.989,4.494,14,9,4.977,8.878,4.187,1.446,10.497
Lambir,1992-1997,lam,Callicarpa,havilandii,111,79,5.42,6.275,5.633,3.858,7.895,3,1,5.591,19.651,2.653,0.587,11.118
Lambir,1992-1997,lam,Callicarpa,pentandra,5,4,4.867,4.584,1.749,0.462,6.162,5,2,4.994,18.346,3.814,0.959,12.755
Lambir,1992-1997,lam,Calophyllum,alboramulum,149,136,4.561,2.002,1.846,1.029,2.926,14,12,4.616,3.34,1.577,0.419,5.068
Lambir,1992-1997,lam,Calophyllum,banyengii,101,99,5.025,0.398,0.691,0.273,1.409,10,9,5.03,2.095,1.124,0.266,3.79
Lambir,1992-1997,lam,Calophyllum,biflorum,303,293,5.006,0.67,0.725,0.413,1.168,24,23,4.885,0.871,0.853,0.218,2.598
Lambir,1992-1997,lam,Calophyllum,castaneum,409,377,4.944,1.648,1.62,1.135,2.223,32,31,4.948,0.642,0.735,0.19,2.169
Lambir,1992-1997,lam,Calophyllum,confertum,177,164,4.619,1.652,1.541,0.906,2.526,51,51,4.636,0,0.405,0.103,1.305
Lambir,1992-1997,lam,Calophyllum,depressinervosum,10,9,5.16,2.042,1.44,0.416,4.594,3,2,5.031,8.059,1.457,0.328,6.188
Lambir,1992-1997,lam,Calophyllum,ferrugineum,168,159,4.675,1.178,1.183,0.608,2.069,25,24,4.673,0.874,0.821,0.243,2.564
Lambir,1992-1997,lam,Calophyllum,gracilipes,140,123,5.378,2.407,2.196,1.323,3.404,6,5,5.535,3.294,1.227,0.293,4.717
Lambir,1992-1997,lam,Calophyllum,griseum,414,394,5.044,0.982,0.986,0.663,1.469,61,59,4.97,0.671,0.698,0.234,1.769
Lambir,1992-1997,lam,Calophyllum,macrocarpum,30,30,4.821,0,0.754,0.228,2.033,9,9,4.868,0,0.652,0.15,2.765
Lambir,1992-1997,lam,Calophyllum,pulcherrimum,494,474,4.996,0.827,0.863,0.536,1.252,100,96,4.85,0.842,0.789,0.332,1.712
Lambir,1992-1997,lam,Calophyllum,soulattri,156,152,4.897,0.53,0.669,0.301,1.341,42,42,4.75,0,0.454,0.119,1.348
Lambir,1992-1997,lam,Calophyllum,teijsmannii,159,145,4.847,1.901,1.783,1.048,2.851,29,28,4.741,0.74,0.768,0.223,2.296
Lambir,1992-1997,lam,Calophyllum,tetrapterum,455,432,4.718,1.099,1.111,0.707,1.595,10,10,5.029,0,0.679,0.132,2.436
Lambir,1992-1997,lam,Calophyllum,wallichianum,126,110,4.608,2.947,2.619,1.553,4.131,20,19,4.57,1.122,0.889,0.246,2.927
Lambir,1992-1997,lam,Campnosperma,auriculata,21,18,5.094,3.026,2.033,0.705,4.891,57,52,5.192,1.768,1.402,0.564,2.948
Lambir,1992-1997,lam,Canarium,dichotomum,32,31,5.342,0.594,0.884,0.347,2.329,4,4,5.447,0,0.776,0.179,3.248
Lambir,1992-1997,lam,Canarium,grandifolium,2,2,4.641,0,1.218,0.331,4.335,3,3,4.799,0,0.806,0.161,3.509
Lambir,1992-1997,lam,Canarium,littorale,1340,1273,5.009,1.024,1.022,0.794,1.294,42,40,5.047,0.967,0.884,0.267,2.263
Lambir,1992-1997,lam,Canarium,patentinervium,137,133,4.987,0.594,0.719,0.32,1.394,63,60,5.009,0.974,0.902,0.308,2.104
Lambir,1992-1997,lam,Canarium,pilosum,303,287,4.848,1.119,1.12,0.686,1.747,107,103,4.756,0.801,0.795,0.304,1.723
Lambir,1992-1997,lam,Canarium,pruinosum,215,206,4.704,0.909,0.946,0.495,1.59,13,11,4.738,3.526,1.636,0.463,5.134
Lambir,1992-1997,lam,Canarium,pseudopatentinervium,26,26,5.081,0,0.765,0.218,2.253,61,57,4.769,1.422,1.198,0.45,2.651
Lambir,1992-1997,lam,Canarium,rufum,910,855,4.889,1.275,1.27,0.979,1.625,99,92,4.96,1.479,1.285,0.604,2.388
Lambir,1992-1997,lam,Canarium,tomentosum,184,170,4.837,1.636,1.547,0.875,2.434,43,39,4.688,2.083,1.532,0.534,3.466
Lambir,1992-1997,lam,Canthium,confertum,42,42,4.905,0,0.64,0.194,1.716,1,1,4.761,0,0.778,0.184,3.758
Lambir,1992-1997,lam,Cantleya,corniculata,60,51,4.98,3.263,2.629,1.326,4.783,7,7,4.685,0,0.723,0.136,2.81
Lambir,1992-1997,lam,Carallia,brachiata,77,73,4.849,1.1,1.148,0.501,2.282,34,31,4.826,1.914,1.404,0.455,3.545
Lambir,1992-1997,lam,Carallia,coriifolia,124,118,4.756,1.043,1.074,0.503,2.065,68,67,4.656,0.318,0.517,0.157,1.395
Lambir,1992-1997,lam,Casearia,grewiaefolia,977,838,4.769,3.218,3.165,2.677,3.698,4,3,5.12,5.618,1.382,0.328,5.277
Lambir,1992-1997,lam,Casearia,tuberculata,213,198,4.774,1.529,1.475,0.896,2.288,33,33,4.891,0,0.514,0.115,1.553
Lambir,1992-1997,lam,Castanopsis,argentea,66,54,5.137,3.906,3.222,1.76,5.427,18,18,5.191,0,0.571,0.141,1.933
Lambir,1992-1997,lam,Castanopsis,borneensis,39,36,4.934,1.622,1.398,0.571,3.251,12,10,4.967,3.671,1.667,0.435,5.239
Lambir,1992-1997,lam,Castanopsis,costata,30,28,4.6,1.5,1.368,0.483,3.53,10,10,4.696,0,0.65,0.149,2.589
Lambir,1992-1997,lam,Castanopsis,fulva,52,48,4.54,1.763,1.561,0.61,3.314,6,6,4.974,0,0.724,0.148,3.395
Lambir,1992-1997,lam,Castanopsis,motleyana,36,32,4.776,2.466,1.845,0.705,4.189,3,3,5.329,0,0.826,0.171,3.314
Lambir,1992-1997,lam,Castanopsis,nivea,1,1,5.347,0,1.356,0.332,4.71,3,3,5.113,0,0.808,0.171,3.483
Lambir,1992-1997,lam,Cephalomappa,beccariana,628,620,5.252,0.244,0.311,0.169,0.549,70,69,5.243,0.274,0.477,0.161,1.251
Lambir,1992-1997,lam,Chaetocarpus,castanocarpus,1051,980,4.892,1.43,1.417,1.126,1.783,177,173,4.894,0.467,0.519,0.229,1.123
Lambir,1992-1997,lam,Cheilosa,montana,5,5,5.621,0,1.134,0.278,3.979,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Chionanthus,ramiflora,208,199,5.05,0.876,0.934,0.52,1.528,9,8,5.287,2.228,1.115,0.266,3.942
Lambir,1992-1997,lam,Chisocheton,erythrocarpus,205,194,5.023,1.098,1.111,0.638,1.823,14,11,5.191,4.646,2.152,0.625,6.146
Lambir,1992-1997,lam,Chisocheton,glomeratus,261,241,5.413,1.473,1.466,0.9,2.205,32,30,5.453,1.183,0.968,0.286,2.606
Lambir,1992-1997,lam,Chisocheton,macranthus,414,395,5.243,0.896,0.906,0.569,1.378,71,70,5.354,0.265,0.47,0.144,1.228
Lambir,1992-1997,lam,Chisocheton,medusae,9,7,5.306,4.736,2.156,0.65,6.3,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Chisocheton,pentandrus,76,67,4.792,2.63,2.253,1.126,4.059,12,11,4.8,1.813,1.026,0.272,3.725
Lambir,1992-1997,lam,Chisocheton,polyandrus,6,6,5.049,0,1.086,0.311,3.801,3,3,5.123,0,0.894,0.147,3.669
Lambir,1992-1997,lam,Chisocheton,sarawakanus,0,0,NA,NA,NA,NA,NA,3,2,5.403,7.505,1.439,0.311,6.381
Lambir,1992-1997,lam,Chloranthus,erectus,2,2,5.316,0,1.293,0.321,4.554,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Cinnamomum,crassinervium,3,3,4.94,0,1.191,0.326,4.48,6,6,5.468,0,0.778,0.16,3.311
Lambir,1992-1997,lam,Cinnamomum,javanicum,11,11,5.017,0,1.031,0.274,3.167,2,2,5.277,0,0.815,0.183,3.98
Lambir,1992-1997,lam,Cinnamomum,nitidum,11,11,4.529,0,0.989,0.275,2.959,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Cinnamomum,racemosum,32,30,4.73,1.365,1.308,0.433,3.333,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Cinnamomum,tahyanum,20,19,4.541,1.129,1.222,0.376,3.383,5,5,4.492,0,0.752,0.16,2.984
Lambir,1992-1997,lam,Cleistanthus,baramicus,1925,1854,4.926,0.763,0.77,0.614,0.968,82,81,5.038,0.244,0.456,0.14,1.112
Lambir,1992-1997,lam,Cleistanthus,beccarianus,1768,1720,4.646,0.592,0.609,0.463,0.78,42,36,4.848,3.179,2.305,0.932,4.761
Lambir,1992-1997,lam,Cleistanthus,hirsutipetalus,575,562,4.984,0.459,0.509,0.297,0.827,13,13,5.008,0,0.662,0.127,2.44
Lambir,1992-1997,lam,Cleistanthus,pubens,535,519,5.313,0.572,0.62,0.4,0.967,10,9,5.282,1.995,1.163,0.282,3.827
Lambir,1992-1997,lam,Cleistanthus,sumatranus,302,293,4.991,0.606,0.674,0.371,1.166,8,7,4.878,2.737,1.244,0.272,4.417
Lambir,1992-1997,lam,Coelostegia,borneensis,18,16,5.105,2.307,1.602,0.528,4.134,7,7,5.219,0,0.643,0.168,2.81
Lambir,1992-1997,lam,Coelostegia,griffithii,137,127,5.004,1.515,1.433,0.76,2.464,13,12,5.136,1.559,1.013,0.281,3.48
Lambir,1992-1997,lam,Cotylelobium,melanoxylon,815,773,5.056,1.046,1.054,0.78,1.417,53,51,4.88,0.788,0.793,0.254,1.981
Lambir,1992-1997,lam,Crateva,nurvala,1,1,5.728,0,1.187,0.322,4.324,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Cratoxylum,arborescens,44,37,4.851,3.572,2.689,1.289,5.342,37,35,5.207,1.067,0.906,0.285,2.366
Lambir,1992-1997,lam,Cratoxylum,formosum,11,10,5.095,1.871,1.439,0.45,4.172,6,6,5.198,0,0.727,0.158,2.966
Lambir,1992-1997,lam,Croton,erythrostachys,2,2,4.964,0,1.216,0.363,4.439,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Croton,oblongus,2487,2402,5.1,0.682,0.692,0.555,0.84,192,184,5.08,0.838,0.815,0.402,1.456
Lambir,1992-1997,lam,Crudia,reticulata,32,32,5.494,0,0.683,0.228,1.999,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Crudia,subsimplicifolia,474,449,4.819,1.124,1.13,0.758,1.613,55,51,4.954,1.524,1.235,0.427,2.74
Lambir,1992-1997,lam,Crypteronia,macrophylla,414,368,5.285,2.229,2.169,1.587,2.864,113,107,5.17,1.055,0.964,0.433,1.926
Lambir,1992-1997,lam,Cryptocarya,crassinervia,88,84,4.71,0.988,1.067,0.471,2.131,16,15,4.985,1.295,0.934,0.241,3.008
Lambir,1992-1997,lam,Cryptocarya,scortechinii,19,17,5.301,2.098,1.527,0.554,4.007,3,3,5.48,0,0.801,0.181,3.577
Lambir,1992-1997,lam,Ctenolophon,parvifolius,311,296,4.841,1.021,1.028,0.608,1.591,76,74,4.964,0.537,0.637,0.201,1.56
Lambir,1992-1997,lam,Cyathocalyx,carinatus,352,324,4.869,1.702,1.646,1.131,2.294,51,47,4.846,1.685,1.311,0.485,2.852
Lambir,1992-1997,lam,Cyathocalyx,havilandi,231,210,5.002,1.905,1.824,1.151,2.705,26,24,5.121,1.563,1.145,0.335,2.998
Lambir,1992-1997,lam,Cyathocalyx,magnifica,278,252,5.172,1.899,1.822,1.246,2.614,30,27,5.258,2.004,1.367,0.466,3.438
Lambir,1992-1997,lam,Cyathocalyx,ridleyi,140,127,4.679,2.083,1.907,1.086,3.13,29,28,4.856,0.723,0.789,0.224,2.299
Lambir,1992-1997,lam,Dacryodes,costata,432,414,5.028,0.847,0.868,0.571,1.298,112,110,4.927,0.366,0.475,0.161,1.088
Lambir,1992-1997,lam,Dacryodes,cuspidata,363,348,5.185,0.814,0.865,0.541,1.292,58,55,5.3,1.002,0.921,0.326,2.121
Lambir,1992-1997,lam,Dacryodes,expansa,2446,2343,4.811,0.894,0.896,0.743,1.068,530,520,4.812,0.396,0.425,0.238,0.709
Lambir,1992-1997,lam,Dacryodes,incurvata,391,360,5.032,1.642,1.595,1.097,2.246,90,88,5.02,0.448,0.556,0.199,1.276
Lambir,1992-1997,lam,Dacryodes,incurvata,816,787,4.719,0.767,0.797,0.536,1.122,174,164,4.743,1.248,1.169,0.622,1.978
Lambir,1992-1997,lam,Dacryodes,laxa,177,172,5.144,0.557,0.681,0.323,1.248,37,36,5.129,0.534,0.665,0.18,1.919
Lambir,1992-1997,lam,Dacryodes,longifolia,140,138,4.852,0.297,0.536,0.214,1.146,21,21,4.777,0,0.546,0.13,1.936
Lambir,1992-1997,lam,Dacryodes,rostrata,2523,2439,4.844,0.699,0.708,0.562,0.872,409,399,4.78,0.518,0.546,0.29,0.893
Lambir,1992-1997,lam,Dacryodes,rubiginosa,286,271,5.196,1.037,1.061,0.655,1.62,26,25,5.149,0.762,0.761,0.209,2.461
Lambir,1992-1997,lam,Dacryodes,rugosa,1110,1075,4.852,0.66,0.683,0.495,0.916,24,23,5.018,0.848,0.849,0.213,2.648
Lambir,1992-1997,lam,Dehaasia,brachybotrys,61,55,5.469,1.893,1.684,0.75,3.301,11,11,5.476,0,0.654,0.147,2.201
Lambir,1992-1997,lam,Dehaasia,caesia,3,3,4.576,0,1.26,0.33,4.292,0,0,NA,NA,NA,NA,NA
Lambir,1992-1997,lam,Dehaasia,firma,354,337,4.577,1.075,1.096,0.668,1.645,65,64,4.576,0.339,0.528,0.165,1.443
Lambir,1992-1997,lam,Dehaasia,incrassata,179,172,4.712,0.847,0.899,0.477,1.648,40,39,5.199,0.487,0.638,0.187,1.803
Lambir,1992-1997,lam,Dehaasia,membranacea,60,56,4.72,1.462,1.349,0.562,2.881,7,7,4.638,0,0.734,0.164,3.057
Lambir,1992-1997,lam,Dendrokingstonia,nervosa,25,23,5.335,1.563,1.426,0.504,3.482,6,6,5.256,0,0.767,0.166,3.005
Lambir,1992-1997,lam,Dialium,bursa,1,1,5.363,0,1.326,0.376,4.778,1,1,5.227,0,0.847,0.179,4.22
Lambir,1992-1997,lam,Dialium,indum,188,182,4.712,0.688,0.817,0.376,1.488,82,80,4.899,0.504,0.6,0.2,1.446
Lambir,1992-1997,lam,Dialium,kunstleri,230,220,5.001,0.889,0.949,0.529,1.567,15,15,5.257,0,0.591,0.124,2.201
Lambir,1992-1997,lam,Dialium,platysepalum,166,157,4.986,1.118,1.126,0.595,1.917,32,30,5.013,1.287,1.016,0.331,2.551
Lambir,1992-1997,lam,Dillenia,excelsa,1697,1589,4.993,1.317,1.324,1.087,1.557,180,175,4.957,0.568,0.585,0.271,1.188
Lambir,1992-1997,lam,Dillenia,reticulata,121,114,5.18,1.15,1.129,0.582,2.116,5,5,5.141,0,0.731,0.166,3.447
Lambir,1992-1997,lam,Dillenia,suffruticosa,122,120,5.274,0.313,0.559,0.253,1.104,11,11,4.973,0,0.665,0.168,2.545
Lambir,1992-1997,lam,Dillenia,sumatrana,1058,993,4.7,1.349,1.334,1.062,1.685,50,48,4.711,0.866,0.815,0.262,2.172
Lambir,1992-1997,lam,Dimorphocalyx,denticulatus,2054,1926,5.335,1.206,1.212,0.997,1.429,2,2,5.27,0,0.777,0.171,3.499
Lambir,1992-1997,lam,Diospyros,bintuluensis,294,286,5.007,0.551,0.628,0.326,1.122,24,22,5.04,1.726,1.194,0.352,3.264
Lambir,1992-1997,lam,Diospyros,borneensis,81,78,5.308,0.711,0.855,0.371,1.895,21,21,5.371,0,0.542,0.137,1.808
Lambir,1992-1997,lam,Diospyros,buxifolia,30,29,4.964,0.683,0.981,0.312,2.579,14,13,4.991,1.485,1,0.278,3.227
Lambir,1992-1997,lam,Diospyros,clementium,59,58,5.265,0.325,0.705,0.228,1.624,5,4,5.314,4.199,1.323,0.278,5.095
Lambir,1992-1997,lam,Diospyros,confertiflora,87,85,4.802,0.484,0.756,0.29,1.609,7,7,4.859,0,0.672,0.172,2.803
Lambir,1992-1997,lam,Diospyros,consanguinea,48,43,5.032,2.186,1.779,0.795,3.68,2,2,4.468,0,0.855,0.2,3.646
Lambir,1992-1997,lam,Diospyros,decipiens,234,221,5.426,1.053,1.078,0.636,1.714,5,5,5.385,0,0.705,0.146,3.43
Lambir,1992-1997,lam,Diospyros,densa,30,28,5.312,1.299,1.289,0.472,3.152,9,8,5.262,2.238,1.096,0.251,3.997
Lambir,1992-1997,lam,Diospyros,dictyoneura,131,130,4.887,0.157,0.467,0.195,1.046,31,30,4.889,0.671,0.738,0.202,2.133
Lambir,1992-1997,lam,Diospyros,diepenhorstii,1088,1044,4.954,0.833,0.845,0.62,1.109,141,138,4.969,0.433,0.514,0.208,1.09
Lambir,1992-1997,lam,Diospyros,elliptifolia,42,39,5.471,1.355,1.289,0.499,2.806,4,3,5.496,5.234,1.365,0.302,5.329
Lambir,1992-1997,lam,Diospyros,euphlebia,129,125,5.413,0.582,0.724,0.335,1.475,3,3,5.298,0,0.791,0.16,3.663
Lambir,1992-1997,lam,Diospyros,ferruginescens,481,466,4.833,0.656,0.701,0.436,1.065,46,45,4.874,0.451,0.622,0.172,1.808
