site,census,code,genus,species,n10m,s10m,t10m,r10m,f10m,l10m,u10m,n100m,s100m,t100m,r100m,f100m,l100m,u100m
BCI,1982-1985,bc1,Cecropia,obtusifolia,23,5,3.179,48.01,40.392,23.849,64.767,38,23,3.115,16.12,12.815,6.978,21.233
BCI,1982-1985,bc1,Cedrela,odorata,3,2,3.326,12.189,5.235,0.776,23.509,2,2,3.216,0,2.27,0.441,9.637
BCI,1982-1985,bc1,Ceiba,pentandra,30,21,3.079,11.583,10.041,4.859,18.281,43,40,3.27,2.211,2.229,0.824,4.899
BCI,1982-1985,bc1,Celtis,schippii,139,127,3.477,2.597,2.601,1.447,4.232,42,37,3.385,3.745,3.232,1.37,6.75
BCI,1982-1985,bc1,Cespedesia,spathulata,4,3,3.721,7.73,4.466,0.823,16.969,3,2,3.377,12.008,3.839,0.94,14.986
BCI,1982-1985,bc1,Cestrum,megalophyllum,307,212,3.434,10.783,10.604,8.565,12.855,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Chamaedorea,tepejilote,32,18,3.307,17.397,15.496,8.438,25.571,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Chamguava,schippii,193,193,2.9,0,0.321,0.104,1.001,1,1,3.001,0,2.589,0.566,10.869
BCI,1982-1985,bc1,Chimarrhis,parviflora,3,3,3.307,0,2.365,0.349,11.608,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Chrysochlamys,eclipes,456,422,3.465,2.237,2.227,1.579,3.048,2,2,4.146,0,2.257,0.514,9.52
BCI,1982-1985,bc1,Chrysophyllum,argenteum,349,338,3.295,0.972,1.015,0.585,1.722,77,76,3.257,0.401,0.982,0.317,2.417
BCI,1982-1985,bc1,Chrysophyllum,cainito,49,47,3.285,1.269,1.587,0.456,3.939,20,20,3.424,0,1.341,0.358,4.208
BCI,1982-1985,bc1,Cinnamomum,triplinerve,71,59,3.159,5.86,5.491,2.953,9.156,18,18,3.072,0,1.408,0.393,4.545
BCI,1982-1985,bc1,Clidemia,dentata,8,8,2.631,0,1.808,0.294,8.321,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Clidemia,octona,3,0,3.516,Inf,24.32,5.168,100.25,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Clidemia,septuplinervia,1,0,2.721,Inf,8.965,1.1,85.417,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Coccoloba,coronata,159,146,3.292,2.591,2.56,1.419,4.186,21,21,3.133,0,1.401,0.343,4.341
BCI,1982-1985,bc1,Coccoloba,manzinellensis,434,419,3.203,1.098,1.136,0.675,1.749,8,8,3.206,0,1.949,0.394,6.47
BCI,1982-1985,bc1,Cojoba,rufescens,2,2,4.141,0,2.337,0.373,12.872,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Colubrina,glandulosa,0,0,NA,NA,NA,NA,NA,2,1,3.667,18.9,4.217,0.943,16.895
BCI,1982-1985,bc1,Conostegia,bracteata,4,4,4.24,0,1.894,0.324,10.114,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Conostegia,cinnamomea,389,252,3.551,12.227,12.112,10.193,14.273,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Cordia,alliodora,49,38,3.123,8.14,7.231,3.823,12.846,62,56,3.293,3.091,2.91,1.311,5.42
BCI,1982-1985,bc1,Cordia,bicolor,461,409,2.918,4.102,4.038,3.064,5.183,255,237,3.072,2.383,2.387,1.478,3.565
BCI,1982-1985,bc1,Cordia,lasiocalyx,1273,1177,3.412,2.298,2.296,1.9,2.76,423,389,3.518,2.382,2.38,1.702,3.226
BCI,1982-1985,bc1,Coussarea,curvigemmia,1465,1428,3.073,0.832,0.843,0.611,1.155,40,39,3.105,0.815,1.455,0.433,3.634
BCI,1982-1985,bc1,Coutarea,hexandra,2,2,3.667,0,2.252,0.287,12.76,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Croton,billbergianus,553,298,3.06,20.204,20.071,17.635,22.797,67,45,3.223,12.348,10.837,6.778,16.178
BCI,1982-1985,bc1,Cupania,cinerea,5,5,2.831,0,1.978,0.364,10.947,1,1,3.097,0,2.352,0.542,10.295
BCI,1982-1985,bc1,Cupania,latifolia,47,41,3.383,4.038,3.717,1.546,7.496,8,8,3.72,0,1.788,0.434,5.617
BCI,1982-1985,bc1,Cupania,rufescens,50,49,3.329,0.607,1.058,0.273,3.081,5,5,3.067,0,2.037,0.518,8.888
BCI,1982-1985,bc1,Cupania,seemannii,927,907,3.272,0.667,0.695,0.436,1.009,28,27,3.284,1.107,1.721,0.49,4.614
BCI,1982-1985,bc1,Cyathea,petiolata,8,3,3.523,27.841,17.557,5.915,42.01,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Dendropanax,arboreus,70,59,2.897,5.902,5.46,2.969,9.189,105,99,2.955,1.991,2.063,0.929,3.881
BCI,1982-1985,bc1,Desmopsis,panamensis,11678,10559,3.318,3.036,3.025,2.852,3.213,17,11,3.342,13.026,8.31,3.352,18.248
BCI,1982-1985,bc1,Diospyros,artanthifolia,40,37,3.095,2.519,2.462,0.82,5.842,9,9,3.091,0,1.703,0.441,6.188
BCI,1982-1985,bc1,Dipteryx,oleifera,23,19,3.302,5.787,4.838,1.634,10.983,33,33,3.294,0,1.096,0.312,3.244
BCI,1982-1985,bc1,Drypetes,standleyi,1976,1926,3.742,0.685,0.691,0.529,0.893,196,195,3.838,0.133,0.466,0.164,1.039
BCI,1982-1985,bc1,Elaeis,oleifera,0,0,NA,NA,NA,NA,NA,21,20,2.859,1.706,2.085,0.589,6.015
BCI,1982-1985,bc1,Enterolobium,schomburgkii,11,11,3.114,0,1.643,0.278,6.698,2,2,3.195,0,2.35,0.541,9.762
BCI,1982-1985,bc1,Erythrina,costaricensis,241,192,3.228,7.041,6.899,5.102,9.066,47,42,3.403,3.305,3.001,1.28,6.022
BCI,1982-1985,bc1,Erythroxylum,macrophyllum,305,270,3.359,3.629,3.594,2.572,4.878,18,17,3.452,1.656,2.056,0.588,5.712
BCI,1982-1985,bc1,Erythroxylum,panamense,104,98,3.187,1.864,1.9,0.806,3.69,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Eugenia,coloradoensis,725,692,3.342,1.394,1.413,1.009,1.914,78,69,3.538,3.466,3.218,1.595,5.665
BCI,1982-1985,bc1,Eugenia,galalonensis,938,909,3.347,0.938,0.967,0.663,1.321,21,20,3.291,1.482,1.99,0.56,5.554
BCI,1982-1985,bc1,Eugenia,nesiotica,472,458,3.39,0.888,0.93,0.552,1.457,49,46,3.38,1.869,2.018,0.74,4.502
BCI,1982-1985,bc1,Eugenia,oerstediana,1951,1813,3.282,2.235,2.242,1.891,2.654,133,118,3.479,3.44,3.27,1.979,5.2
